sum_hhe,dnl,dnc,dh,bc,dlcp,diic,diicintra,diicflux,diicconnector,df,dawf,dpc,dpcintra,dpcflux,dpcconnector,dbc_pc,dbc_iic,pop,hh_number,hh_100,pop_15,pop_65,elderly,pop_den,lowincome,res_person,commercial,residential,greenery,industrial,enthropy,avg_price,avg_buildyear,building_32,x,y,cooling_degree,newtown,gu,gu_name,decline_level,decline_group1,decline_group2,dong_name
1969,1.064,-3.191,1.33,0.013,0.978,0.908,0.189,0.685,0.033,1.064,1.064,1.065,0.105,0.854,0.106,0.889,0.212,39909,15754,39.5,8201,3770,46,16629,2721,25.4,4.4,49.4,46.3,0,0.61,38724.4,8.1 ,8.1,126.748,37.4268,150.25,0,2,남동구,100,2,4,서창2동
2520.3,1.005,-1.005,1.129,0.017,0.913,0.836,0.209,0.586,0.04,1.005,1.005,1.01,0.138,0.728,0.144,0.912,0.331,22742,10886,47.9,1954,3541,181.2,2316,1374,23.4,24.2,41.1,15.7,19,0.95,17120.2,31.4 ,31.4,126.668,37.5101,155.01,0,1,서구,80,2,3,석남1동
769.6,0.51,-2.551,0.675,0.021,0.647,0.544,0.065,0.38,0.098,0.51,0.51,0.632,0.053,0.404,0.175,0.886,0.793,13415,6340,47.3,1135,2457,216.5,12195,867,29,0,20.6,2.9,76.4,0.46,27020.6,35.2 ,35.2,126.658,37.503,155.01,0,1,서구,90,2,3,석남2동
410.8,1.869,-3.738,2.259,0.021,1.806,1.666,0.325,1.22,0.122,1.869,1.869,2.061,0.191,1.486,0.383,1.728,0.541,14195,6592,46.4,1110,2215,199.5,5238,1233,22.3,5.2,34.6,60.3,0,0.6,14871.3,30.6 ,30.6,126.681,37.5066,155.01,0,1,서구,60,2,2,석남3동
1606.6,1.887,-7.547,2.421,0.021,1.741,1.616,0.339,1.208,0.068,1.887,1.887,1.795,0.186,1.515,0.094,0.979,0.492,17325,8037,46.4,1382,3007,217.6,7189,1235,30.1,0,28.2,71.8,0,0.43,23649.1,25.0 ,25,126.698,37.4296,171.20,0,8,연수구,50,1,2,선학동
3533.3,0.351,-2.807,0.482,0.004,0.34,0.324,0.061,0.228,0.034,0.351,0.351,0.404,0.033,0.286,0.085,0.515,0.077,37487,14015,37.4,5894,3041,51.6,3865,53,30.9,8.6,51.3,31.1,9,0.82,56096.3,14.6 ,14.6,126.647,37.3824,174.90,1,8,연수구,110,3,4,송도1동
4135.5,0.532,-0.621,0.644,0.007,0.502,0.48,0.072,0.388,0.02,0.532,0.532,0.602,0.036,0.461,0.105,0.843,0.17,36653,11708,31.9,8344,1881,22.5,9906,29,34.5,19.7,39,41.3,0,0.76,68879,10.7 ,10.7,126.64,37.4008,174.90,1,8,연수구,110,3,4,송도2동
3505.1,0.146,-0.114,0.194,0.002,0.141,0.146,0.017,0.112,0.018,0.146,0.146,0.175,0.008,0.131,0.037,0.313,0.087,48748,18372,37.7,10377,2406,23.2,4556,72,26.6,3.7,26.5,31.9,10.6,0.78,61580.9,11.0 ,11,126.652,37.3633,174.90,1,8,연수구,110,3,4,송도3동
3600.2,0.227,-0.232,0.363,0.006,0.28,0.223,0.056,0.115,0.052,0.227,0.227,0.277,0.045,0.137,0.095,0.393,0.226,24820,9107,36.7,5478,1209,22.1,4761,101,28.4,17.6,25.6,37.7,2.4,0.8,69450.2,8.0 ,8,126.621,37.404,174.90,1,8,연수구,110,3,4,송도4동
8057.4,5.405,-1.351,5.612,0.033,4.337,3.78,1.655,2.095,0.03,5.405,5.405,4.427,1.3,2.805,0.322,2.46,0.254,1686,749,44.4,153,460,300.7,8874,93,26.7,36.2,54.2,9.5,0,0.67,14678,35.9 ,35.9,126.639,37.4752,174.90,0,6,동구,10,1,1,송림1동
1095.4,3.333,0,3.507,0.034,3.261,3.212,0.221,2.892,0.099,3.333,3.333,3.672,0.165,3.003,0.504,5.187,1.939,3005,1647,54.8,168,1017,605.4,15025,387,25.2,50,50,0,0,0.5,16900,37.9 ,37.9,126.643,37.4768,157.79,0,6,동구,10,1,1,송림2동
1112.7,1.681,-0.84,1.847,0.017,1.362,1.16,0.536,0.609,0.015,1.681,1.681,1.377,0.413,0.855,0.109,1.375,0.217,8008,3633,45.4,803,1779,221.5,14560,373,24.8,9.9,90.1,0,0,0.23,22813.8,37.0 ,37,126.648,37.4729,157.79,0,6,동구,60,2,2,송림3·5동
236.5,1.325,-3.974,1.553,0.027,1.214,1.009,0.345,0.635,0.029,1.325,1.325,1.392,0.23,0.865,0.298,1.847,0.612,4301,1786,41.5,555,676,121.8,5444,187,25.9,3.8,22,16.9,57.3,0.78,23699.5,35.1 ,35.1,126.659,37.4815,157.79,0,6,동구,90,2,3,송림4동
1618,1.418,-0.709,1.554,0.021,1.347,1.271,0.189,1.04,0.042,1.418,1.418,1.564,0.126,1.167,0.271,2.177,0.654,6761,2939,43.5,875,1386,158.4,12073,237,25.3,10.3,35.1,0,54.5,0.67,22610.8,39.2 ,39.2,126.648,37.4817,157.79,0,6,동구,90,2,3,송림6동
1398.5,3.226,-1.613,3.374,0.023,3.015,2.8,0.457,2.313,0.031,3.226,3.226,3.365,0.28,2.667,0.418,3.095,0.701,4535,2209,48.7,341,1133,332.3,28344,637,24.4,0,100,0,0,0,15139.3,31.0 ,31,126.622,37.4793,157.79,0,7,중구,50,1,2,송월동
